               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.061037,            0.022346,            0.014474,             0.64135,              0.9382,             0.86016,             0.46432,            0.046858,            0.014039,            0.010548,           0.0081388,           0.0081388,           0.0081388
                  96,            0.054157,            0.021621,             0.01396,             0.64135,              0.9382,             0.86016,             0.46432,            0.046858,            0.014039,            0.010548,            0.008119,            0.008119,            0.008119
                  97,            0.050825,            0.020685,            0.014528,             0.80919,             0.94987,             0.92602,             0.56546,            0.042501,            0.013457,            0.010025,           0.0080992,           0.0080992,           0.0080992
                  98,            0.052935,            0.023618,             0.01534,             0.66087,             0.92996,             0.78819,             0.39041,            0.057166,            0.014091,           0.0097632,           0.0080794,           0.0080794,           0.0080794
                  99,            0.062777,             0.02345,            0.015365,             0.75099,              0.9328,               0.854,             0.42698,            0.051838,            0.013291,           0.0098613,           0.0080596,           0.0080596,           0.0080596
                 100,            0.053092,            0.020835,            0.014706,             0.75099,              0.9328,               0.854,             0.42698,            0.051838,            0.013291,           0.0098613,           0.0080398,           0.0080398,           0.0080398
                 101,            0.050846,            0.019438,            0.014178,             0.85287,              0.9391,             0.91826,             0.50496,            0.044097,             0.01308,            0.010152,             0.00802,             0.00802,             0.00802
                 102,            0.048971,            0.020152,            0.014034,             0.69189,             0.85242,             0.76576,             0.39751,            0.054995,            0.013659,            0.010423,           0.0080002,           0.0080002,           0.0080002
                 103,            0.058577,            0.020803,             0.01507,             0.75794,             0.89873,             0.90158,             0.40125,            0.055423,            0.013666,            0.010241,           0.0079804,           0.0079804,           0.0079804
                 104,            0.059901,            0.022566,            0.015433,             0.75794,             0.89873,             0.90158,             0.40125,            0.055423,            0.013666,            0.010241,           0.0079606,           0.0079606,           0.0079606
                 105,            0.054082,            0.022474,            0.013913,             0.81362,             0.92734,             0.93915,             0.50473,             0.04629,            0.013391,            0.010308,           0.0079408,           0.0079408,           0.0079408
                 106,            0.055189,            0.019093,            0.014929,             0.64187,             0.84464,             0.79629,             0.38043,             0.06263,            0.013779,           0.0099605,            0.007921,            0.007921,            0.007921
                 107,            0.060446,            0.019347,            0.014886,             0.77633,             0.93924,             0.89755,             0.48122,            0.051247,            0.013248,            0.010431,           0.0079012,           0.0079012,           0.0079012
                 108,            0.058075,            0.023249,            0.014679,             0.77633,             0.93924,             0.89755,             0.48122,            0.051247,            0.013248,            0.010431,           0.0078814,           0.0078814,           0.0078814
                 109,            0.052506,            0.020702,            0.013969,             0.81477,             0.95844,             0.88308,             0.52357,            0.046064,            0.013266,            0.010043,           0.0078616,           0.0078616,           0.0078616
                 110,            0.049512,            0.023755,            0.014769,             0.79584,             0.87508,             0.91664,             0.50933,            0.042482,            0.013157,           0.0098221,           0.0078418,           0.0078418,           0.0078418
                 111,            0.049244,            0.022256,            0.014103,             0.66267,             0.95509,             0.76663,             0.39093,            0.056744,            0.013155,           0.0096366,            0.007822,            0.007822,            0.007822
                 112,            0.062973,             0.02091,            0.012844,             0.66267,             0.95509,             0.76663,             0.39093,            0.056744,            0.013155,           0.0096366,           0.0078022,           0.0078022,           0.0078022
                 113,            0.058848,            0.020812,            0.015161,             0.76031,             0.97069,             0.84546,             0.49228,            0.051779,             0.01285,           0.0095337,           0.0077824,           0.0077824,           0.0077824
                 114,            0.054143,             0.02127,            0.014841,             0.78703,             0.97809,             0.96917,             0.57862,            0.047842,            0.012636,           0.0095088,           0.0077626,           0.0077626,           0.0077626
                 115,            0.051361,            0.022662,            0.013265,             0.70011,             0.95988,             0.77639,             0.39363,            0.055036,            0.013294,           0.0096275,           0.0077428,           0.0077428,           0.0077428
                 116,            0.058955,            0.022772,             0.01423,             0.70011,             0.95988,             0.77639,             0.39363,            0.055036,            0.013294,           0.0096275,            0.007723,            0.007723,            0.007723
                 117,            0.056372,            0.020723,            0.013753,             0.71695,             0.95326,             0.78955,             0.47448,            0.050393,            0.012846,            0.009478,           0.0077032,           0.0077032,           0.0077032
                 118,            0.056847,            0.022396,            0.014572,             0.76135,             0.93257,             0.87719,             0.45384,            0.050057,            0.012575,           0.0096162,           0.0076834,           0.0076834,           0.0076834
                 119,            0.056244,            0.022411,            0.014516,              0.8236,             0.95842,             0.91255,             0.40072,            0.050251,            0.012738,           0.0097063,           0.0076636,           0.0076636,           0.0076636
                 120,            0.053684,            0.019789,            0.013655,              0.8236,             0.95842,             0.91255,             0.40072,            0.050251,            0.012738,           0.0097063,           0.0076438,           0.0076438,           0.0076438
                 121,            0.050049,            0.019971,            0.014071,             0.87712,             0.95203,             0.96523,             0.56139,            0.043108,            0.012495,           0.0096719,            0.007624,            0.007624,            0.007624
                 122,              0.0503,            0.019946,            0.014046,             0.72209,             0.93546,             0.83194,             0.40996,             0.05155,            0.012986,           0.0097929,           0.0076042,           0.0076042,           0.0076042
                 123,            0.054492,            0.022898,            0.014621,              0.9321,             0.94445,             0.98227,             0.53637,            0.045044,            0.012835,           0.0096687,           0.0075844,           0.0075844,           0.0075844
                 124,            0.052889,            0.022857,            0.014098,              0.9321,             0.94445,             0.98227,             0.53637,            0.045044,            0.012835,           0.0096687,           0.0075646,           0.0075646,           0.0075646
                 125,            0.047841,            0.023271,            0.013248,             0.93912,             0.94484,             0.98287,             0.62219,            0.041032,            0.012695,           0.0097625,           0.0075448,           0.0075448,           0.0075448
                 126,            0.044396,            0.018416,            0.014674,             0.81552,             0.96071,             0.94373,             0.47314,            0.044966,            0.013011,           0.0096225,            0.007525,            0.007525,            0.007525
                 127,            0.052475,            0.024508,            0.015028,             0.76432,             0.91007,             0.87593,              0.3729,            0.052314,             0.01279,           0.0096692,           0.0075052,           0.0075052,           0.0075052
                 128,            0.059941,            0.019267,            0.013748,             0.76432,             0.91007,             0.87593,              0.3729,            0.052314,             0.01279,           0.0096692,           0.0074854,           0.0074854,           0.0074854
                 129,            0.052431,            0.021049,            0.014117,             0.85083,             0.92559,             0.93533,             0.54961,            0.039952,            0.012444,           0.0098223,           0.0074656,           0.0074656,           0.0074656
                 130,            0.050002,            0.021631,            0.012372,             0.72485,              0.9374,             0.87729,             0.47368,            0.052646,             0.01295,           0.0095772,           0.0074458,           0.0074458,           0.0074458
                 131,            0.057789,            0.019888,            0.013413,             0.75964,             0.91187,             0.89973,              0.4963,            0.050634,            0.012398,           0.0090042,            0.007426,            0.007426,            0.007426
                 132,            0.056012,             0.02036,            0.013238,             0.75964,             0.91187,             0.89973,              0.4963,            0.050634,            0.012398,           0.0090042,           0.0074062,           0.0074062,           0.0074062
                 133,            0.050403,            0.020307,            0.012304,             0.81438,             0.90967,             0.94829,             0.62736,            0.043937,            0.012167,           0.0088869,           0.0073864,           0.0073864,           0.0073864
                 134,             0.04909,            0.021793,            0.012968,             0.67399,             0.96673,             0.93563,             0.46329,            0.051652,            0.012724,            0.008852,           0.0073666,           0.0073666,           0.0073666
                 135,            0.051445,            0.019464,            0.012559,             0.70274,             0.95207,             0.90874,             0.49014,            0.043346,            0.012506,           0.0089208,           0.0073468,           0.0073468,           0.0073468
                 136,            0.051511,            0.020893,             0.01291,             0.70274,             0.95207,             0.90874,             0.49014,            0.043346,            0.012506,           0.0089208,            0.007327,            0.007327,            0.007327
                 137,            0.048318,            0.016842,            0.012494,             0.84916,              0.9584,             0.96133,              0.5536,            0.039686,            0.012272,           0.0088556,           0.0073072,           0.0073072,           0.0073072
                 138,            0.045757,            0.020551,            0.012687,             0.74449,             0.93881,             0.93161,             0.46024,            0.048038,            0.012574,           0.0089797,           0.0072874,           0.0072874,           0.0072874
                 139,            0.052697,            0.022731,            0.012001,             0.93257,             0.94619,             0.97608,             0.50816,            0.046368,            0.012248,           0.0090481,           0.0072676,           0.0072676,           0.0072676
                 140,            0.051405,            0.019907,            0.012862,             0.93257,             0.94619,             0.97608,             0.50816,            0.046368,            0.012248,           0.0090481,           0.0072478,           0.0072478,           0.0072478
                 141,            0.047338,             0.02129,            0.013672,             0.94243,             0.95373,             0.98536,             0.64609,            0.037241,            0.012058,           0.0088488,            0.007228,            0.007228,            0.007228
                 142,            0.045511,            0.020878,            0.012197,             0.88087,             0.94622,             0.96503,             0.49819,            0.045338,            0.012377,           0.0089143,           0.0072082,           0.0072082,           0.0072082
                 143,            0.049472,            0.021643,            0.013008,             0.92796,             0.93939,             0.97494,             0.54926,            0.042487,            0.012239,           0.0087229,           0.0071884,           0.0071884,           0.0071884
                 144,            0.053902,             0.02015,            0.012628,             0.92796,             0.93939,             0.97494,             0.54926,            0.042487,            0.012239,           0.0087229,           0.0071686,           0.0071686,           0.0071686
                 145,            0.046834,            0.019131,            0.013082,             0.96621,             0.96936,             0.98436,             0.60347,            0.036402,            0.011874,           0.0085702,           0.0071488,           0.0071488,           0.0071488
                 146,            0.050881,            0.021099,            0.012033,             0.75773,             0.95854,             0.93788,             0.41537,            0.058997,            0.012672,           0.0085861,            0.007129,            0.007129,            0.007129
                 147,            0.058643,            0.018877,            0.013128,              0.7717,             0.98864,             0.93666,             0.58409,            0.042349,            0.011871,           0.0087161,           0.0071092,           0.0071092,           0.0071092
                 148,            0.048645,            0.023604,            0.012738,              0.7717,             0.98864,             0.93666,             0.58409,            0.042349,            0.011871,           0.0087161,           0.0070894,           0.0070894,           0.0070894
                 149,            0.040098,            0.020464,            0.010936,             0.96731,             0.98864,             0.99324,             0.68047,            0.035645,            0.011888,           0.0087519,           0.0070696,           0.0070696,           0.0070696
                 150,              0.0498,            0.021581,            0.012881,             0.91058,             0.98184,             0.96503,             0.34086,            0.055196,            0.012408,           0.0084234,           0.0070498,           0.0070498,           0.0070498
                 151,            0.059536,             0.02214,            0.011134,             0.91332,             0.97813,             0.98908,             0.64977,            0.037445,            0.011888,           0.0085059,             0.00703,             0.00703,             0.00703
                 152,            0.048907,            0.022338,            0.013262,             0.91332,             0.97813,             0.98908,             0.64977,            0.037445,            0.011888,           0.0085059,           0.0070102,           0.0070102,           0.0070102
                 153,            0.042052,            0.020989,            0.011493,             0.97926,             0.98394,             0.99348,             0.68626,             0.03545,            0.011667,           0.0084864,           0.0069904,           0.0069904,           0.0069904
                 154,             0.04373,             0.02286,            0.012794,             0.93431,             0.98035,             0.99335,             0.69776,            0.040346,            0.011974,           0.0084928,           0.0069706,           0.0069706,           0.0069706
                 155,            0.046045,            0.021115,            0.011784,             0.91563,             0.98115,             0.97084,             0.50928,            0.047999,            0.012339,            0.008404,           0.0069508,           0.0069508,           0.0069508
                 156,            0.050397,             0.01958,            0.011861,             0.91563,             0.98115,             0.97084,             0.50928,            0.047999,            0.012339,            0.008404,            0.006931,            0.006931,            0.006931
                 157,            0.045228,            0.018757,            0.011255,             0.93751,             0.98603,              0.9903,             0.56509,            0.040582,            0.011852,           0.0084418,           0.0069112,           0.0069112,           0.0069112
